Municipality,Shelters,Hospitals,Community Centers,Schools,Government Buildings,Transportation Hubs,Readiness_Index
Adjuntas,0.864,0.034,0.102,0.086,0.1,0.017,0.303
Aguada,0.797,0.068,0.78,0.052,0.2,0.033,0.401
Aguadilla,0.102,0.034,1,0.31,0.25,0.067,0.252
Aguas Buenas,0.78,0,1,0.483,0.283,0.033,0.464
Aibonito,1,0.051,0.186,0.69,0.167,0.033,0.43
Arecibo,1,0.661,1,0.828,0.017,0.017,0.701
Arroyo,1,0.102,0.407,0.086,0.167,0.367,0.448
Añasco,0.559,0.017,0.746,0.431,0.067,0.017,0.335
Barceloneta,1,0.068,0.153,0.31,0.183,0.05,0.394
Barranquitas,0.525,0.339,0.119,0.172,0.117,0.1,0.299
Bayamón,0.034,0.322,1,1,0.15,0.233,0.379
Cabo Rojo,0.542,0,0.153,0.31,0.417,0.033,0.262
Caguas,1,0.322,1,1,0.3,0.067,0.667
Camuy,1,0.068,0.407,0.362,0.017,0.033,0.419
Canóvanas,1,0.881,0.475,0.655,0.05,0.133,0.675
Carolina,0.932,0.034,0.847,1,0.45,0.317,0.592
Cataño,1,0,0.254,0.207,0.267,0.033,0.389
Cayey,0,0.119,0.237,0.293,0.217,0.017,0.118
Ceiba,1,0.322,1,0.224,0.25,0.133,0.591
Ciales,0.22,0.034,1,0.069,0.017,0.017,0.235
Cidra,1,0.017,0.102,0.172,0.3,0.033,0.37
Coamo,1,0.017,0.322,0.224,0.083,0.05,0.388
Comerío,0.881,0.051,0.169,0.172,0.017,0.05,0.326
Corozal,0.441,0.305,0.237,0.603,0.033,0.1,0.318
Culebra,0.237,0.034,0,0,0.167,0.167,0.113
Dorado,0.153,0.051,1,0.276,0.367,0.167,0.289
Fajardo,1,0.017,1,0.397,0.183,0.05,0.517
Guayama,0.915,0,0.305,0.31,0.317,0.017,0.385
Guayanilla,0.966,0.119,0.186,0.328,0.267,0,0.407
Guaynabo,1,0.017,1,1,0.883,0.917,0.734
Gurabo,1,0.017,0.712,1,0.133,0.05,0.529
Guánica,0.017,0.051,0.288,0.052,0.083,0.117,0.086
Hatillo,1,1,0.898,1,0.333,0.2,0.838
Hormigueros,1,0.136,0.644,0.983,0.567,0.167,0.602
Humacao,0.475,0.119,0.39,0.655,0.017,0.417,0.339
Isabela,1,0.034,0.898,0.259,0.3,0.133,0.512
Jayuya,1,0.068,0.186,0.155,0.3,0.233,0.414
Juana Díaz,1,0.153,0.407,0.517,0.55,0.033,0.509
Juncos,0.441,0.051,0.424,0.172,0.2,0.033,0.249
Lajas,0.983,0.017,0.542,0.448,0.2,0.017,0.447
Lares,0.797,0.102,0.305,0.155,0.167,0.033,0.346
Las Marías,0.492,0.153,0.017,0.259,0.05,0.017,0.221
Las Piedras,0.119,0.322,0.288,1,0.2,0.033,0.283
Loíza,0.627,0,1,0.431,0.017,0.633,0.446
Luquillo,1,0.271,0.288,0.259,0.117,0.35,0.484
Manatí,0.153,0.22,0.525,1,0.083,0.017,0.29
Maricao,0.339,0,0.119,0.017,0.083,0.333,0.163
Maunabo,0.424,0,0.339,0.069,0.1,0.017,0.197
Mayagüez,0.051,0.356,1,1,0.417,0.267,0.423
Moca,0.763,0,0.339,0.466,0.2,0.017,0.348
Morovis,0.695,0.017,0,0.259,0.183,0.067,0.264
Naguabo,1,0.017,0.136,0.241,0.133,0.017,0.364
Naranjito,0.627,0.136,0.153,0.086,0.417,0.367,0.332
Orocovis,0.22,0.085,0.492,0.224,0.267,0.05,0.215
Patillas,1,0.051,0.949,0.379,0.283,0.067,0.528
Peñuelas,0.237,0.322,0.814,0.241,0.017,0.067,0.306
Ponce,0.153,0.271,1,1,1,0.05,0.469
Quebradillas,1,0.102,0.949,0.121,0.017,0.033,0.485
Rincón,0,0.034,0.203,1,0.283,0.067,0.174
Río Grande,1,0.136,1,1,0.283,0.033,0.616
Sabana Grande,0.881,0.034,0.864,0.276,0.8,0.05,0.515
Salinas,0.153,0,0.542,0.19,0,0.05,0.151
San Germán,0.356,0.034,0.729,1,0.383,0.35,0.398
San Juan,0.576,0.61,1,1,0.933,1,0.769
San Lorenzo,0.305,0.085,0.119,0.328,0.4,0.017,0.205
San Sebastián,0.475,0.102,0.644,1,0.05,0.067,0.376
Santa Isabel,1,0.051,0.203,0.121,0.033,0.017,0.36
Toa Alta,0.763,0.136,0.949,0.328,0.133,0.017,0.453
Toa Baja,0.271,0.322,0.373,0.138,0.067,0.017,0.24
Trujillo Alto,0,0.542,0.373,0.603,0.067,0.133,0.272
Utuado,0.424,0,0.254,0.638,0.25,0.017,0.256
Vega Alta,1,0.339,0.407,1,0.3,0.033,0.579
Vega Baja,1,0.169,0.136,0.655,0.133,0.017,0.443
Vieques,0.983,0.136,0.136,0.172,0.15,0.267,0.408
Villalba,0,0.017,0,0.241,0.117,0.05,0.045
Yabucoa,0.983,0.034,0.339,0.259,0.283,0.033,0.412
Yauco,1,0,0.814,0.276,0.15,0.017,0.466
